k,n_clusters,top_clusters,recall,avg_distance,cluster_time,indexing_time,query_time
10,256,1,0.363868,3.297177,24.339334,356.918162,171.311526
10,256,2,0.448803,3.226629,24.339334,356.918162,267.609897
10,256,4,0.514334,3.185019,24.339334,356.918162,436.668103
10,256,10,0.568870,3.157749,24.339334,356.918162,1483.244625
10,512,1,0.347567,3.318919,23.737160,286.793424,166.147296
10,512,2,0.435105,3.239525,23.737160,286.793424,299.579885
10,512,4,0.505772,3.191843,23.737160,286.793424,390.296991
10,512,10,0.570149,3.158102,23.737160,286.793424,863.948105
20,256,1,0.406440,3.416388,11.389486,299.805051,109.088433
20,256,2,0.546194,3.338859,11.389486,299.805051,233.724636
20,256,4,0.680514,3.292900,11.389486,299.805051,456.942179
20,256,10,0.819230,3.262185,11.389486,299.805051,1203.629375
20,512,1,0.362055,3.446882,26.061332,260.325852,99.631427
20,512,2,0.497985,3.356918,26.061332,260.325852,215.216479
20,512,4,0.632194,3.303371,26.061332,260.325852,468.751577
20,512,10,0.788136,3.264907,26.061332,260.325852,1992.549727
50,256,1,0.365952,3.593531,10.974645,307.237221,192.569199
50,256,2,0.502629,3.500213,10.974645,307.237221,507.392075
50,256,4,0.640817,3.445298,10.974645,307.237221,714.024510
50,256,10,0.793912,3.407754,10.974645,307.237221,1613.964064
50,512,1,0.317533,3.638933,30.091614,368.644625,128.414408
50,512,2,0.447656,3.527886,30.091614,368.644625,246.435143
